"Strain","Pro_mCh","Promoter","mCherry","Ter_length","Terminator","Length","TargetID","BioRep","ExpRep","Median_deltaCq","RNA_Abundance","na.rm","remove"
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","mCh-7","BioRep1","1",4.93,0.0328036463632209,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","mCh-7","BioRep2","1",5.025,0.0307131437045391,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","mCh-7","BioRep3","1",4.89,0.0337258823907633,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","mCh-7","BioRep4","2",4.965,0.032017400719775,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","mCh-7","BioRep5","2",3.935,0.0653803087370331,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","mCh-7","BioRep6","2",5.41,0.023519480428298,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","PGK1-ORF","BioRep1","1",-0.27,1.20580782769076,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","PGK1-ORF","BioRep2","1",-0.315,1.24401165329847,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","PGK1-ORF","BioRep3","1",-0.77,1.70526978353591,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","PGK1-ORF","BioRep4","2",-0.744999999999999,1.6759742693359,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","PGK1-ORF","BioRep5","2",-0.355000000000002,1.27898558127743,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","PGK1-ORF","BioRep6","2",-0.460000000000001,1.37554181813974,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","RPS3-ORF","BioRep1","1",0.27,0.829319545814442,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","RPS3-ORF","BioRep2","1",0.555,0.680657058249737,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","RPS3-ORF","BioRep3","1",0.279999999999999,0.823591017267573,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","RPS3-ORF","BioRep4","2",0.135,0.910669833591979,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","RPS3-ORF","BioRep5","2",0.724999999999998,0.604997044609647,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","RPS3-ORF","BioRep6","2",0.539999999999999,0.687770909069872,FALSE,FALSE
