"Strain","Pro_mCh","Promoter","mCherry","TargetID","Ter_mod","Terminator","Construct","BioRep","ExpRep","Median_deltaCq","RNA_Abundance","na.rm","remove"
"pPGK1-mCherry-tRPS3_modB","pPGK1-mCherry","pPGK1","mCherry","URA3-ORF","tRPS3_modB","tRPS3","modB","BioRep5","2",-0.154999999999999,1.11342161822869,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modB","pPGK1-mCherry","pPGK1","mCherry","URA3-ORF","tRPS3_modB","tRPS3","modB","BioRep6","2",-0.184999999999999,1.13681697323601,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","mCh-7","tRPS3_modC","tRPS3","modC","BioRep1","1",-2.295,4.90753990901522,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","mCh-7","tRPS3_modC","tRPS3","modC","BioRep2","1",-2.145,4.42292261328108,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","mCh-7","tRPS3_modC","tRPS3","modC","BioRep3","1",-1.935,3.82378127037497,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","mCh-7","tRPS3_modC","tRPS3","modC","BioRep4","2",-2.415,5.3331947083648,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","mCh-7","tRPS3_modC","tRPS3","modC","BioRep5","2",-2.17,4.50023393875524,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","mCh-7","tRPS3_modC","tRPS3","modC","BioRep6","2",-2.1,4.28709385014517,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","PGK1-ORF","tRPS3_modC","tRPS3","modC","BioRep1","1",-0.325000000000001,1.25266443862413,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","PGK1-ORF","tRPS3_modC","tRPS3","modC","BioRep2","1",0.0549999999999997,0.962594443101752,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","PGK1-ORF","tRPS3_modC","tRPS3","modC","BioRep3","1",-0.00499999999999901,1.0034717485095,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","PGK1-ORF","tRPS3_modC","tRPS3","modC","BioRep4","2",-0.0950000000000006,1.06806540804785,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","PGK1-ORF","tRPS3_modC","tRPS3","modC","BioRep5","2",0.109999999999999,0.926588061890371,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","PGK1-ORF","tRPS3_modC","tRPS3","modC","BioRep6","2",-0.370000000000001,1.29235283063749,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","RPS3-ORF","tRPS3_modC","tRPS3","modC","BioRep1","1",0.00499999999999901,0.996540262827869,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","RPS3-ORF","tRPS3_modC","tRPS3","modC","BioRep2","1",-0.0549999999999997,1.03885910329766,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","RPS3-ORF","tRPS3_modC","tRPS3","modC","BioRep3","1",0.00500000000000078,0.996540262827867,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","RPS3-ORF","tRPS3_modC","tRPS3","modC","BioRep4","2",0.744999999999999,0.596667871515861,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","RPS3-ORF","tRPS3_modC","tRPS3","modC","BioRep5","2",-0.49,1.404444875738,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","RPS3-ORF","tRPS3_modC","tRPS3","modC","BioRep6","2",0.17,0.88884268116657,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","URA3-ORF","tRPS3_modC","tRPS3","modC","BioRep1","1",-0.275000000000002,1.20999408921929,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","URA3-ORF","tRPS3_modC","tRPS3","modC","BioRep2","1",-0.355,1.27898558127743,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","URA3-ORF","tRPS3_modC","tRPS3","modC","BioRep3","1",-0.174999999999999,1.12896440480613,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","URA3-ORF","tRPS3_modC","tRPS3","modC","BioRep4","2",0.624999999999998,0.648419777325506,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","URA3-ORF","tRPS3_modC","tRPS3","modC","BioRep5","2",0.140000000000001,0.907519155317161,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","URA3-ORF","tRPS3_modC","tRPS3","modC","BioRep6","2",0.799999999999999,0.574349177498518,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modD","pPGK1-mCherry","pPGK1","mCherry","mCh-7","tRPS3_modD","tRPS3","modD","BioRep1","1",-1.2,2.29739670999407,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modD","pPGK1-mCherry","pPGK1","mCherry","mCh-7","tRPS3_modD","tRPS3","modD","BioRep2","1",-1.15,2.21913894413569,FALSE,FALSE
