"Include","Color","Pos","Name","Cp","Concentration","Standard","Status","Well","Cq","ExpRep","WellR","WellC","SampleID","Strain","Pro_mCh","Promoter","mCherry","BioRep","Ter_mod","Terminator","Construct","remove","Type","TechRep","TargetID","norm.by","Value.norm","Value.normexp"
TRUE,255,"C5","Sample 53",13.79,NA,0,NA,"C5",13.79,"2","C","5","pPGK1-mCherry-tRPS3_mod0_BioRep5","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep5","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","RPS3-ORF",13.635,0.154999999999999,0.898132372883935
TRUE,255,"D5","Sample 77",13.39,NA,0,NA,"D5",13.39,"2","D","5","pPGK1-mCherry-tRPS3_mod0_BioRep5","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep5","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","PGK1-ORF",13.635,-0.244999999999999,1.18509277094158
TRUE,255,"E5","Sample 101",11.62,NA,0,NA,"E5",11.62,"2","E","5","pPGK1-mCherry-tRPS3_mod0_BioRep5","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep5","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","mCh-7",13.635,-2.015,4.04180578594706
TRUE,255,"F5","Sample 125",13.81,NA,0,NA,"F5",13.81,"2","F","5","pPGK1-mCherry-tRPS3_mod0_BioRep5","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep5","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","URA3-ORF",13.635,0.175000000000001,0.88576751910236
TRUE,255,"G5","Sample 149",13.53,NA,0,NA,"G5",13.53,"2","G","5","pPGK1-mCherry-tRPS3_mod0_BioRep5","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep5","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","RPS3-ORF",13.635,-0.105,1.07549439045738
TRUE,255,"H5","Sample 173",13.53,NA,0,NA,"H5",13.53,"2","H","5","pPGK1-mCherry-tRPS3_mod0_BioRep5","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep5","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","PGK1-ORF",13.635,-0.105,1.07549439045738
TRUE,255,"I5","Sample 197",11.39,NA,0,NA,"I5",11.39,"2","I","5","pPGK1-mCherry-tRPS3_mod0_BioRep5","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep5","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","mCh-7",13.635,-2.245,4.74037108376633
TRUE,255,"J5","Sample 221",13.85,NA,0,NA,"J5",13.85,"2","J","5","pPGK1-mCherry-tRPS3_mod0_BioRep5","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep5","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","URA3-ORF",13.635,0.215,0.861546159712017
TRUE,255,"K5","Sample 245",13.74,NA,0,NA,"K5",13.74,"2","K","5","pPGK1-mCherry-tRPS3_mod0_BioRep5","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep5","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","RPS3-ORF",13.635,0.105,0.929804942613162
TRUE,255,"L5","Sample 269",13.75,NA,0,NA,"L5",13.75,"2","L","5","pPGK1-mCherry-tRPS3_mod0_BioRep5","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep5","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","PGK1-ORF",13.635,0.115,0.923382310729395
TRUE,255,"A6","Sample 6",11.84,NA,0,NA,"A6",11.84,"2","A","6","pPGK1-mCherry-tRPS3_mod0_BioRep6","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep6","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","mCh-7",13.595,-1.755,3.37526318452007
TRUE,255,"B6","Sample 30",14.77,NA,0,NA,"B6",14.77,"2","B","6","pPGK1-mCherry-tRPS3_mod0_BioRep6","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep6","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","URA3-ORF",13.595,1.175,0.44288375955118
TRUE,255,"C6","Sample 54",13.75,NA,0,NA,"C6",13.75,"2","C","6","pPGK1-mCherry-tRPS3_mod0_BioRep6","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep6","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","RPS3-ORF",13.595,0.155000000000001,0.898132372883934
