"strain","pro_mCh","promoter","mCherry","target_id","UTR3","terminator","construct","bio_rep","exp_rep","deltacq","rel_abund_deltacq","na.rm","remove"
"pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","PGK1-ORF","tRPS3_modC","tRPS3","modC","bio_rep3","1",-0.324444444444444,1.25218215325428,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","PGK1-ORF","tRPS3_modC","tRPS3","modC","bio_rep4","2",-0.00333333333333385,1.00231316184217,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","PGK1-ORF","tRPS3_modC","tRPS3","modC","bio_rep5","2",0.0211111111111109,0.985473436446176,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","PGK1-ORF","tRPS3_modC","tRPS3","modC","bio_rep6","2",-0.531111111111111,1.44504168547911,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","RPS3-ORF","tRPS3_modC","tRPS3","modC","bio_rep1","1",-0.582222222222223,1.49715357965117,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","RPS3-ORF","tRPS3_modC","tRPS3","modC","bio_rep2","1",-0.539999999999999,1.45397251732031,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","RPS3-ORF","tRPS3_modC","tRPS3","modC","bio_rep3","1",-0.494444444444444,1.40877815589463,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","RPS3-ORF","tRPS3_modC","tRPS3","modC","bio_rep4","2",-0.313333333333333,1.24257534448593,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","RPS3-ORF","tRPS3_modC","tRPS3","modC","bio_rep5","2",0.0211111111111109,0.985473436446176,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","RPS3-ORF","tRPS3_modC","tRPS3","modC","bio_rep6","2",0.398888888888889,0.758442182889109,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","URA3-ORF","tRPS3_modC","tRPS3","modC","bio_rep1","1",0.377777777777778,0.769622147933496,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","URA3-ORF","tRPS3_modC","tRPS3","modC","bio_rep2","1",0.370000000000001,0.773782496771194,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","URA3-ORF","tRPS3_modC","tRPS3","modC","bio_rep3","1",0.405555555555555,0.754945521044343,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","URA3-ORF","tRPS3_modC","tRPS3","modC","bio_rep4","2",0.276666666666667,0.825496116582272,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","URA3-ORF","tRPS3_modC","tRPS3","modC","bio_rep5","2",0.111111111111111,0.925874712287291,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","URA3-ORF","tRPS3_modC","tRPS3","modC","bio_rep6","2",0.0788888888888888,0.946786546476099,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modD","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_modD","tRPS3","modD","bio_rep1","1",-0.120000000000001,1.08673486252606,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modD","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_modD","tRPS3","modD","bio_rep2","1",0.0233333333333317,0.983956653508113,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modD","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_modD","tRPS3","modD","bio_rep3","1",-0.265555555555556,1.20209886676559,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modD","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_modD","tRPS3","modD","bio_rep4","2",-1.05444444444444,2.07691826922758,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modD","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_modD","tRPS3","modD","bio_rep5","2",-0.741111111111111,1.67146264284427,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modD","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_modD","tRPS3","modD","bio_rep6","2",-0.906666666666666,1.87470899311996,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modD","pRPS3-mCherry","pRPS3","mCherry","PGK1-ORF","tRPS3_modD","tRPS3","modD","bio_rep1","1",-0.32,1.24833054890161,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modD","pRPS3-mCherry","pRPS3","mCherry","PGK1-ORF","tRPS3_modD","tRPS3","modD","bio_rep2","1",-0.706666666666667,1.63202896997689,FALSE,FALSE
