exp_rep,target_id,sample_id,strain,bio_rep,pro_mCh,promoter,mCherry,delta_cq,UTR3,terminator,construct,ref_delta_cq,deltadelta_cq,rel_abund_delta_deltacq,remove
2,mCh-7,pRPS3-mCherry-tRPS3_modD_bio_rep6,pRPS3-mCherry-tRPS3_modD,bio_rep6,pRPS3-mCherry,pRPS3,mCherry,-0.9066666666666663,tRPS3_modD,tRPS3,modD,-1.3892592592592585,0.48259259259259224,0.715690337630635,FALSE
2,mCh-7,pRPS3-mCherry-tRPS3_modE_bio_rep4,pRPS3-mCherry-tRPS3_modE,bio_rep4,pRPS3-mCherry,pRPS3,mCherry,0.7466666666666661,tRPS3_modE,tRPS3,modE,-1.3892592592592585,2.1359259259259247,0.22752138763206065,FALSE
2,mCh-7,pRPS3-mCherry-tRPS3_modE_bio_rep5,pRPS3-mCherry-tRPS3_modE,bio_rep5,pRPS3-mCherry,pRPS3,mCherry,0.005555555555552871,tRPS3_modE,tRPS3,modE,-1.3892592592592585,1.3948148148148114,0.3802934998750796,FALSE
2,mCh-7,pRPS3-mCherry-tRPS3_modE_bio_rep6,pRPS3-mCherry-tRPS3_modE,bio_rep6,pRPS3-mCherry,pRPS3,mCherry,0.35777777777777686,tRPS3_modE,tRPS3,modE,-1.3892592592592585,1.7470370370370354,0.29791299548782624,FALSE
2,mCh-7,pRPS3-mCherry-tRPS3_WT_bio_rep4,pRPS3-mCherry-tRPS3_WT,bio_rep4,pRPS3-mCherry,pRPS3,mCherry,-1.7477777777777774,tRPS3_WT,tRPS3,WT,-1.3892592592592585,-0.3585185185185189,1.28210864357953,FALSE
2,mCh-7,pRPS3-mCherry-tRPS3_WT_bio_rep5,pRPS3-mCherry-tRPS3_WT,bio_rep5,pRPS3-mCherry,pRPS3,mCherry,-1.4866666666666664,tRPS3_WT,tRPS3,WT,-1.3892592592592585,-0.09740740740740783,1.0698491634624403,FALSE
2,mCh-7,pRPS3-mCherry-tRPS3_WT_bio_rep6,pRPS3-mCherry-tRPS3_WT,bio_rep6,pRPS3-mCherry,pRPS3,mCherry,-1.8233333333333324,tRPS3_WT,tRPS3,WT,-1.3892592592592585,-0.43407407407407383,1.351043451048089,FALSE
1,mCh-7,pSRO9-mCherry-tRPS3_mod0_bio_rep1,pSRO9-mCherry-tRPS3_mod0,bio_rep1,pSRO9-mCherry,pSRO9,mCherry,4.281111111111111,tRPS3_mod0,tRPS3,mod0,4.245925925925926,0.035185185185184764,0.9759064848049569,FALSE
1,mCh-7,pSRO9-mCherry-tRPS3_mod0_bio_rep2,pSRO9-mCherry-tRPS3_mod0,bio_rep2,pSRO9-mCherry,pSRO9,mCherry,4.253333333333334,tRPS3_mod0,tRPS3,mod0,4.245925925925926,0.007407407407407973,0.994878735062662,FALSE
1,mCh-7,pSRO9-mCherry-tRPS3_mod0_bio_rep3,pSRO9-mCherry-tRPS3_mod0,bio_rep3,pSRO9-mCherry,pSRO9,mCherry,4.203333333333333,tRPS3_mod0,tRPS3,mod0,4.245925925925926,-0.04259259259259274,1.0299630578860532,FALSE
1,mCh-7,pSRO9-mCherry-tRPS3_modA_bio_rep1,pSRO9-mCherry-tRPS3_modA,bio_rep1,pSRO9-mCherry,pSRO9,mCherry,3.7944444444444443,tRPS3_modA,tRPS3,modA,4.245925925925926,-0.4514814814814816,1.3674437430959556,FALSE
1,mCh-7,pSRO9-mCherry-tRPS3_modA_bio_rep2,pSRO9-mCherry-tRPS3_modA,bio_rep2,pSRO9-mCherry,pSRO9,mCherry,4.32,tRPS3_modA,tRPS3,modA,4.245925925925926,0.0740740740740744,0.9499516070835987,FALSE
1,mCh-7,pSRO9-mCherry-tRPS3_modA_bio_rep3,pSRO9-mCherry-tRPS3_modA,bio_rep3,pSRO9-mCherry,pSRO9,mCherry,4.471111111111112,tRPS3_modA,tRPS3,modA,4.245925925925926,0.22518518518518604,0.8554852080494447,FALSE
1,mCh-7,pSRO9-mCherry-tRPS3_modB_bio_rep1,pSRO9-mCherry-tRPS3_modB,bio_rep1,pSRO9-mCherry,pSRO9,mCherry,5.597777777777779,tRPS3_modB,tRPS3,modB,4.245925925925926,1.351851851851853,0.3917888236043763,FALSE
1,mCh-7,pSRO9-mCherry-tRPS3_modB_bio_rep2,pSRO9-mCherry-tRPS3_modB,bio_rep2,pSRO9-mCherry,pSRO9,mCherry,5.366666666666667,tRPS3_modB,tRPS3,modB,4.245925925925926,1.1207407407407413,0.45985765429009295,FALSE
1,mCh-7,pSRO9-mCherry-tRPS3_modB_bio_rep3,pSRO9-mCherry-tRPS3_modB,bio_rep3,pSRO9-mCherry,pSRO9,mCherry,4.804444444444444,tRPS3_modB,tRPS3,modB,4.245925925925926,0.5585185185185182,0.6789990596004618,FALSE
1,mCh-7,pSRO9-mCherry-tRPS3_modC_bio_rep1,pSRO9-mCherry-tRPS3_modC,bio_rep1,pSRO9-mCherry,pSRO9,mCherry,3.836666666666666,tRPS3_modC,tRPS3,modC,4.245925925925926,-0.4092592592592599,1.3280037856279132,FALSE
