"Include","Color","Pos","Name","Cp","Concentration","Standard","Status","Well","Cq","ExpRep","WellR","WellC","SampleID","Strain","Pro_mCh","Promoter","mCherry","Ter_mod","Terminator","Construct","BioRep","remove","Type","TechRep","TargetID","norm.by","Value.norm","Value.normexp","Value.norm.mod0"
TRUE,255,"E14","Sample 110",9.58,NA,0,NA,"E14",9.58,"1","E","14","pRPS3-mCherry-tRPS3_modC_BioRep2","pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modC","tRPS3","modC","BioRep2",FALSE,"+RT","2","mCh-7",10.45,-0.869999999999999,1.8276629004588,-0.00499999999999989
TRUE,255,"I14","Sample 206",9.31,NA,0,NA,"I14",9.31,"1","I","14","pRPS3-mCherry-tRPS3_modC_BioRep2","pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modC","tRPS3","modC","BioRep2",FALSE,"+RT","3","mCh-7",10.45,-1.14,2.20381023175322,-0.274999999999999
TRUE,255,"A15","Sample 15",9.83,NA,0,NA,"A15",9.83,"1","A","15","pRPS3-mCherry-tRPS3_modC_BioRep3","pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modC","tRPS3","modC","BioRep3",FALSE,"+RT","1","mCh-7",10,-0.17,1.12505848468881,0.694999999999999
TRUE,255,"E15","Sample 111",9.41,NA,0,NA,"E15",9.41,"1","E","15","pRPS3-mCherry-tRPS3_modC_BioRep3","pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modC","tRPS3","modC","BioRep3",FALSE,"+RT","2","mCh-7",10,-0.59,1.50524674741107,0.274999999999999
TRUE,255,"I15","Sample 207",9.32,NA,0,NA,"I15",9.32,"1","I","15","pRPS3-mCherry-tRPS3_modC_BioRep3","pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modC","tRPS3","modC","BioRep3",FALSE,"+RT","3","mCh-7",10,-0.68,1.60213975517924,0.185
TRUE,255,"A13","Sample 13",13.24,NA,0,NA,"A13",13.24,"2","A","13","pRPS3-mCherry-tRPS3_modC_BioRep4","pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modC","tRPS3","modC","BioRep4",FALSE,"+RT","1","mCh-7",14.35,-1.11,2.15845647300885,-0.245
TRUE,255,"E13","Sample 109",13.18,NA,0,NA,"E13",13.18,"2","E","13","pRPS3-mCherry-tRPS3_modC_BioRep4","pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modC","tRPS3","modC","BioRep4",FALSE,"+RT","2","mCh-7",14.35,-1.17,2.25011696937762,-0.305000000000001
TRUE,255,"I13","Sample 205",12.37,NA,0,NA,"I13",12.37,"2","I","13","pRPS3-mCherry-tRPS3_modC_BioRep4","pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modC","tRPS3","modC","BioRep4",FALSE,"+RT","3","mCh-7",14.35,-1.98,3.94493081797344,-1.115
TRUE,255,"A14","Sample 14",13.35,NA,0,NA,"A14",13.35,"2","A","14","pRPS3-mCherry-tRPS3_modC_BioRep5","pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modC","tRPS3","modC","BioRep5",FALSE,"+RT","1","mCh-7",14.53,-1.18,2.2657677705916,-0.315
TRUE,255,"E14","Sample 110",12.78,NA,0,NA,"E14",12.78,"2","E","14","pRPS3-mCherry-tRPS3_modC_BioRep5","pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modC","tRPS3","modC","BioRep5",FALSE,"+RT","2","mCh-7",14.53,-1.75,3.36358566101486,-0.885000000000001
TRUE,255,"I14","Sample 206",12.37,NA,0,NA,"I14",12.37,"2","I","14","pRPS3-mCherry-tRPS3_modC_BioRep5","pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modC","tRPS3","modC","BioRep5",FALSE,"+RT","3","mCh-7",14.53,-2.16,4.46914855228888,-1.295
TRUE,255,"A15","Sample 15",13.59,NA,0,NA,"A15",13.59,"2","A","15","pRPS3-mCherry-tRPS3_modC_BioRep6","pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modC","tRPS3","modC","BioRep6",FALSE,"+RT","1","mCh-7",15.09,-1.5,2.82842712474619,-0.635000000000001
TRUE,255,"E15","Sample 111",12.55,NA,0,NA,"E15",12.55,"2","E","15","pRPS3-mCherry-tRPS3_modC_BioRep6","pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modC","tRPS3","modC","BioRep6",FALSE,"+RT","2","mCh-7",15.09,-2.54,5.81589006928124,-1.675
TRUE,255,"I15","Sample 207",12.63,NA,0,NA,"I15",12.63,"2","I","15","pRPS3-mCherry-tRPS3_modC_BioRep6","pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modC","tRPS3","modC","BioRep6",FALSE,"+RT","3","mCh-7",15.09,-2.46,5.50216727255897,-1.595
TRUE,255,"A16","Sample 16",11.75,NA,0,NA,"A16",11.75,"1","A","16","pRPS3-mCherry-tRPS3_modD_BioRep1","pRPS3-mCherry-tRPS3_modD","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modD","tRPS3","modD","BioRep1",FALSE,"+RT","1","mCh-7",10.54,1.21,0.432268615653932,2.075
